S.no,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Total Cases per 1M pop,Deaths per 1M pop,Total Tests,Tests per 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
1,South Africa,"58,568",,"1,284",,"33,252",,"24,032",208,988,22,"1,028,399","17,352","59,267,163",Africa,"1,012","46,158",58
2,Egypt,"39,726",,"1,377",,"10,691",,"27,658",41,389,13,"135,000","1,321","102,220,760",Africa,"2,573","74,234",757
3,Nigeria,"14,554",,387,,"4,494",,"9,673",7,71,2,"88,432",430,"205,822,203",Africa,"14,142","531,840","2,327"
4,Ghana,"10,856",+498,48,,"3,921",+97,"6,887",6,350,2,"242,218","7,805","31,034,041",Africa,"2,859","646,543",128
5,Algeria,"10,698",+109,751,+10,"7,322",+67,"2,625",33,244,17,,,"43,804,765",Africa,"4,095","58,329",
6,Cameroon,"8,681",,212,,"4,836",,"3,633",28,328,8,,,"26,504,775",Africa,"3,053","125,023",
7,Morocco,"8,581",+44,212,+1,"7,600",+17,769,7,233,6,"382,357","10,366","36,886,438",Africa,"4,299","173,993",96
8,Sudan,"6,730",+148,413,+12,"2,278",+76,"4,039",,154,9,401,9,"43,786,472",Africa,"6,506","106,021","109,193"
9,Senegal,"4,851",+92,56,+1,"3,100",+106,"1,695",23,290,3,"58,003","3,470","16,716,133",Africa,"3,446","298,502",288
10,DRC,"4,637",+122,101,+3,580,+13,"3,956",,52,1,,,"89,383,696",Africa,"19,276","884,987",
11,Djibouti,"4,441",+43,38,+1,"2,730",+211,"1,673",,"4,499",38,"40,356","40,880","987,187",Africa,222,"25,979",24
12,Ivory Coast,"4,404",,41,,"2,212",,"2,151",,167,2,"34,272","1,301","26,337,705",Africa,"5,980","642,383",768
13,Guinea,"4,372",,23,,"3,033",,"1,316",24,333,2,"14,407","1,099","13,110,203",Africa,"2,999","570,009",910
14,Gabon,"3,463",,23,,"1,024",,"2,416",17,"1,558",10,"19,517","8,782","2,222,506",Africa,642,"96,631",114
15,Kenya,"3,305",+90,96,+4,"1,164",+72,"2,045",7,62,2,"108,666","2,024","53,699,517",Africa,"16,248","559,370",494
16,Ethiopia,"2,915",+245,47,+7,451,+17,"2,417",38,25,0.4,"170,860","1,488","114,786,713",Africa,"39,378","2,442,270",672
17,Somalia,"2,513",,85,,532,,"1,896",2,158,5,,,"15,864,908",Africa,"6,313","186,646",
18,Mayotte,"2,240",,28,,"1,654",,558,12,"8,223",103,"8,800","32,304","272,408",Africa,122,"9,729",31
19,CAR,"2,044",+92,7,+2,360,+322,"1,677",2,424,1,"18,921","3,922","4,824,890",Africa,"2,361","689,270",255
20,Mali,"1,752",+30,101,+4,"1,023",+34,628,,87,5,"3,483",172,"20,213,291",Africa,"11,537","200,132","5,803"
21,South Sudan,"1,670",,24,,48,,"1,598",,149,2,"3,356",300,"11,186,498",Africa,"6,699","466,104","3,333"
22,Mauritania,"1,439",,74,,250,,"1,115",25,310,16,"7,654","1,649","4,641,964",Africa,"3,226","62,729",606
23,Guinea-Bissau,"1,389",,12,,153,,"1,224",5,707,6,"1,500",763,"1,965,141",Africa,"1,415","163,762","1,310"
24,Equatorial Guinea,"1,306",,12,,200,,"1,094",,933,9,"8,268","5,906","1,399,912",Africa,"1,072","116,659",169
25,Madagascar,"1,240",+37,10,,344,+32,886,10,45,0.4,"15,148",548,"27,646,431",Africa,"22,296","2,764,643","1,825"
26,Zambia,"1,200",,10,,912,,278,1,65,0.5,"28,236","1,539","18,351,048",Africa,"15,293","1,835,105",650
27,Sierra Leone,"1,103",+18,51,+1,648,+6,404,,138,6,,,"7,967,302",Africa,"7,223","156,222",
28,Tunisia,"1,093",+6,49,,995,+6,49,,93,4,"57,273","4,849","11,811,891",Africa,"10,807","241,059",206
29,Niger,974,,65,,878,,31,,40,3,"6,252",259,"24,146,544",Africa,"24,791","371,485","3,862"
30,Burkina Faso,892,,53,,791,+1,48,,43,3,,,"20,866,826",Africa,"23,393","393,714",
31,Chad,848,,72,,706,,70,,52,4,,,"16,395,556",Africa,"19,334","227,716",
32,Congo,728,,24,,221,,483,,132,4,,,"5,509,663",Africa,"7,568","229,569",
33,Cabo Verde,697,+40,6,,294,,397,,"1,254",11,"1,307","2,352","555,657",Africa,797,"92,610",425
34,Uganda,686,+7,,,161,,525,,15,,"111,436","2,441","45,645,761",Africa,"66,539",,410
35,Sao Tome and Principe,639,+7,12,,156,+10,471,,"2,919",55,"1,354","6,185","218,920",Africa,343,"18,243",162
36,Togo,524,,13,,271,,240,1,63,2,"24,358","2,946","8,266,815",Africa,"15,776","635,909",339
37,Tanzania,509,,21,,183,,305,7,9,0.4,,,"59,625,015",Africa,"117,141","2,839,286",
38,Mozambique,509,+20,2,,145,+1,362,,16,0.06,"16,919",542,"31,199,461",Africa,"61,296","15,599,731","1,844"
39,Rwanda,494,,2,,313,,179,,38,0.2,"84,029","6,498","12,932,272",Africa,"26,179","6,466,136",154
40,Réunion,488,+1,1,,460,+13,27,2,545,1,"17,200","19,218","894,975",Africa,"1,834","894,975",52
41,Malawi,481,,4,,55,,422,4,25,0.2,"6,690",350,"19,098,955",Africa,"39,707","4,774,739","2,855"
42,Eswatini,449,,3,,238,,208,5,387,3,"6,551","5,650","1,159,511",Africa,"2,582","386,504",177
43,Liberia,410,,31,,206,,173,,81,6,,,"5,050,381",Africa,"12,318","162,916",
44,Libya,393,,5,,59,,329,,57,0.7,"11,765","1,714","6,866,054",Africa,"17,471","1,373,211",584
45,Benin,388,+83,5,+1,217,+29,166,2,32,0.4,"45,637","3,771","12,103,226",Africa,"31,194","2,420,645",265
46,Mauritius,337,,10,,325,,2,,265,8,"137,789","108,353","1,271,663",Africa,"3,773","127,166",9
47,Zimbabwe,332,,4,,51,,277,,22,0.3,"52,905","3,562","14,850,685",Africa,"44,731","3,712,671",281
48,Comoros,162,,2,,97,,63,,187,2,,,"868,486",Africa,"5,361","434,243",
49,Angola,118,,5,,41,,72,1,4,0.2,"10,000",305,"32,799,138",Africa,"277,959","6,559,828","3,280"
50,Burundi,85,,1,,45,,39,,7,0.08,382,32,"11,867,795",Africa,"139,621","11,867,795","31,068"
51,Botswana,48,,1,,24,,23,1,20,0.4,"26,238","11,171","2,348,797",Africa,"48,933","2,348,797",90
52,Eritrea,41,,,,39,,2,,12,,,,"3,543,663",Africa,"86,431",,
53,Namibia,31,,,,17,,14,1,12,,"5,514","2,172","2,538,214",Africa,"81,878",,460
54,Gambia,28,,1,,22,,5,,12,0.4,"1,970",817,"2,412,325",Africa,"86,154","2,412,325","1,225"
55,Seychelles,11,,,,11,,0,,112,,,,"98,315",Africa,"8,938",,
56,Western Sahara,9,,1,,6,,2,,15,2,,,"596,428",Africa,"66,270","596,428",
57,Lesotho,4,,,,2,,2,,2,,"1,515",707,"2,141,348",Africa,"535,337",,"1,413"
